"名前","値","許可された値","変更可能","送信元","適用タイプ","データ型","説明","ApplyMethod","MinimumEngineVersion"
"performance_schema_events_transactions_history_size",,"-1-1024",true,"engine-default","static","integer","The number of rows per thread in the events_transactions_history table.","pending-reboot",
"performance_schema_events_waits_history_long_size",,"-1-1048576",true,"engine-default","static","integer","The number of rows in the events_waits_history_long table.","pending-reboot",
"performance_schema_events_waits_history_size",,"-1-1024",true,"engine-default","static","integer","The number of rows per thread in the events_waits_history table.","pending-reboot",
"performance_schema_hosts_size",,"-1-1048576",true,"engine-default","static","integer","The number of rows in the hosts table.","pending-reboot",
"performance-schema-instrument",,,true,"engine-default","static","string","Configure a Performance Schema instrument. The name may be given as a pattern to configure instruments that match the pattern.","pending-reboot",
"performance_schema_max_cond_classes",,"0-256",true,"engine-default","static","integer","The maximum number of condition instruments.","pending-reboot",
"performance_schema_max_cond_instances",,"-1-1048576",true,"engine-default","static","integer","The maximum number of instrumented condition objects.","pending-reboot",
"performance_schema_max_digest_length",,"-1-1048576",true,"engine-default","static","integer","The maximum number of bytes available for computing statement digests.","pending-reboot",
"performance_schema_max_digest_sample_age",,"0-1048576",true,"engine-default","dynamic","integer","The time in seconds after which a previous query sample is considered old. When the value is 0, queries are sampled once. When the value is greater than zero, queries are re sampled if the last sample is more than performance_schema_max_digest_sample_age seconds old.","pending-reboot",
"performance_schema_max_file_classes",,"0-256",true,"engine-default","static","integer","The maximum number of file instruments.","pending-reboot",
"performance_schema_max_file_handles",,"0-1048576",true,"engine-default","static","integer","The maximum number of opened file objects.","pending-reboot",
"performance_schema_max_file_instances",,"-1-1048576",true,"engine-default","static","integer","The maximum number of instrumented file objects.","pending-reboot",
"performance_schema_max_index_stat",,"-1-1048576",true,"engine-default","static","integer","The maximum number of indexes for which the Performance Schema maintains statistics.","pending-reboot",
"performance_schema_max_memory_classes",,"-1-1024",true,"engine-default","static","integer","The maximum number of memory instruments.","pending-reboot",
"performance_schema_max_metadata_locks",,"-1-104857600",true,"engine-default","static","integer","The maximum number of metadata lock instruments.","pending-reboot",
"performance_schema_max_mutex_classes",,"0-256",true,"engine-default","static","integer","The maximum number of mutex instruments.","pending-reboot",
"performance_schema_max_mutex_instances",,"-1-104857600",true,"engine-default","static","integer","The maximum number of instrumented mutex objects.","pending-reboot",
"performance_schema_max_prepared_statements_instances",,"-1-1048576",true,"engine-default","static","integer","The maximum number of rows in the prepared_statements_instances table.","pending-reboot",
"performance_schema_max_program_instances",,"-1-1048576",true,"engine-default","static","integer","The maximum number of stored programs for which the Performance Schema maintains statistics.","pending-reboot",
"performance_schema_max_rwlock_classes",,"0-256",true,"engine-default","static","integer","The maximum number of rwlock instruments.","pending-reboot",
"performance_schema_max_rwlock_instances",,"-1-104857600",true,"engine-default","static","integer","The maximum number of instrumented rwlock objects.","pending-reboot",
"performance_schema_max_socket_classes",,"0-256",true,"engine-default","static","integer","The maximum number of socket instruments.","pending-reboot",
"performance_schema_max_socket_instances",,"-1-1048576",true,"engine-default","static","integer","The maximum number of instrumented socket objects.","pending-reboot",
"performance_schema_max_sql_text_length",,"-1-1048576",true,"engine-default","static","integer","The maximum number of bytes used to store SQL statements in the SQL_TEXT column of the events_statements_current, events_statements_history, and events_statements_history_long statement event tables.","pending-reboot",
"performance_schema_max_stage_classes",,"0-256",true,"engine-default","static","integer","The maximum number of stage instruments.","pending-reboot",
"performance_schema_max_statement_classes",,"0-256",true,"engine-default","static","integer","The maximum number of statement instruments.","pending-reboot",
"performance_schema_max_statement_stack",,"1-256",true,"engine-default","static","integer","The maximum depth of nested stored program calls for which the Performance Schema maintains statistics.","pending-reboot",
"performance_schema_max_table_handles",,"-1-1048576",true,"engine-default","static","integer","The maximum number of opened table objects.","pending-reboot",
"performance_schema_max_table_instances",,"-1-1048576",true,"engine-default","static","integer","The maximum number of instrumented table objects.","pending-reboot",
"performance_schema_max_table_lock_stat",,"-1-1048576",true,"engine-default","static","integer","The maximum number of tables for which the Performance Schema maintains lock statistics.","pending-reboot",
"performance_schema_max_thread_classes",,"0-256",true,"engine-default","static","integer","The maximum number of thread instruments.","pending-reboot",
"performance_schema_max_thread_instances",,"-1-1048576",true,"engine-default","static","integer","The maximum number of instrumented thread objects.","pending-reboot",
"performance_schema_session_connect_attrs_size",,"-1-1048576",true,"engine-default","static","integer","The amount of preallocated memory per thread used to hold connection attribute strings.","pending-reboot",
"performance_schema_setup_actors_size",,"0-1024",true,"engine-default","static","integer","The number of rows in the setup_actors table.","pending-reboot",
"performance_schema_setup_objects_size",,"-1-1048576",true,"engine-default","static","integer","The number of rows in the setup_objects table.","pending-reboot",
"performance_schema_show_processlist",,"0,1",true,"engine-default","dynamic","boolean","The SHOW PROCESSLIST statement provides process information by collecting thread data from all active threads. To see how this parameter affect how this information is gatehred please consult the MySQL documentation","pending-reboot",
"performance_schema_users_size",,"-1-1048576",true,"engine-default","static","integer","The number of rows in the users table.","pending-reboot",
"pid_file","/rdsdbdata/log/mysql-{EndPointPort}.pid",,false,"system","static","string","The path name of the process ID file. This file is used by other programs such as MySQLd_safe to determine the server's process ID.","pending-reboot",
"plugin_dir",,,false,"system","static","string","Directory searched by systems dynamic linker for UDF object files. Otherwise, user-defined function object files must be located the default directory.","pending-reboot",
"port","{EndPointPort}",,false,"system","static","integer","The number of the port on which the server listens for TCP/IP connections.","pending-reboot",
"preload_buffer_size",,"1024-1073741824",true,"engine-default","dynamic","integer","The size of the buffer that is allocated when preloading indexes.","pending-reboot",
"profiling_history_size",,"0-100",true,"engine-default","dynamic","integer","The number of statements for which to maintain profiling if profiling is enabled.","pending-reboot",
"query_alloc_block_size",,"1024-18446744073709547520",true,"engine-default","dynamic","integer","The allocation size of memory blocks that are allocated for objects created during statement parsing and execution. May help resolve fragmentation problems.","pending-reboot",
"query_prealloc_size",,"8192-18446744073709547520",true,"engine-default","dynamic","integer","Increased size might help improve perf for complex queries (i.e. Reduces server memory allocation)","pending-reboot",
"range_alloc_block_size",,"4096-18446744073709547520",true,"engine-default","dynamic","integer","The size of blocks that are allocated when doing range optimization.","pending-reboot",
"range_optimizer_max_mem_size",,"0-18446744073709551615",true,"engine-default","dynamic","integer","The limit on memory consumption for the range optimizer.","pending-reboot",
"read_buffer_size","262144","8200-2147479552",true,"system","dynamic","integer","Each thread that does a sequential scan allocates this buffer. Increased value may help perf if performing many sequential scans.","pending-reboot",
"read_rnd_buffer_size","524288","8200-2147479552",true,"system","dynamic","integer","Avoids disk reads when reading rows in sorted order following a key-sort operation. Large values can improve ORDER BY perf.","pending-reboot",
"regexp_stack_limit",,"0-2147483647",true,"engine-default","dynamic","integer","Stack size limit for regular expressions matches.","pending-reboot",
"regexp_time_limit",,"0-2147483647",true,"engine-default","dynamic","integer","Timeout for regular expressions matches, in steps of the match engine, typically on the order of milliseconds","pending-reboot",
"relay-log","/rdsdbdata/log/relaylog/relaylog",,false,"system","static","string","The basename for the relay log.","pending-reboot",
"relay_log_recovery","1","0,1",false,"system","dynamic","boolean","Enables automatic relay log recovery immediately following server startup.","pending-reboot",
"replica_checkpoint_group",,"32-524280",true,"engine-default","dynamic","integer","Sets the maximum number of transactions that can be processed by a multi-threaded replica before a checkpoint operation is called to update its status as shown by SHOW REPLICA STATUS.","pending-reboot",
"replica_checkpoint_period",,"1-4294967295",true,"engine-default","dynamic","integer","Sets the maximum time (in milliseconds) that is allowed to pass before a checkpoint operation is called to update the status of a multi-threaded replica as shown by SHOW REPLICA STATUS.","pending-reboot",
"replica_parallel_workers",,"0-1024",true,"engine-default","dynamic","integer","Sets the number of replica worker threads for executing replication events (transactions) in parallel. Setting this variable to 0 (the default) disables parallel execution.","pending-reboot",
"replica_pending_jobs_size_max",,"1024-18446744073709547520",true,"engine-default","dynamic","integer","For multithreaded replicas, this option sets the maximum amount of memory (in bytes) available to replica worker queues holding events not yet applied.","pending-reboot",
"replica_sql_verify_checksum",,"0,1",true,"engine-default","dynamic","boolean","When this option is enabled, the replica examines checksums read from the relay log, in the event of a mismatch, the replica stops with an error.","pending-reboot",
"safe-user-create",,"0,1",true,"engine-default","static","boolean","If this option is enabled, a user cannot create new MySQL users by using the GRANT  statement unless the user has the INSERT privilege for the mysql.user table or any column in the table.","pending-reboot",
"schema_definition_cache",,"256-524288",true,"engine-default","dynamic","integer","Defines a limit for the number of schema definition objects, both used and unused, that can be kept in the dictionary object cache.","pending-reboot",
"secure_file_priv","/tmp",,false,"system","static","string","Limits the effect of LOAD_FILE(), LOAD_DATA, and SELECT ??? INTO OUTFILE to specified directory.","pending-reboot",
"skip_external_locking",,"0,1",false,"engine-default","static","boolean","Uses OS locking instead of internal","pending-reboot",
"skip-replica-start","1","0,1",false,"system","static","boolean","Tells the replica server not to start the replica threads when the server starts.","pending-reboot",
"skip_show_database",,"0,1",true,"engine-default","static","boolean","SHOW DATABASES statement is allowed only to users who have the SHOW DATABASES privilege","pending-reboot",
"slow_launch_time",,"0-31536000",true,"engine-default","dynamic","integer","Increments Slow_launch_threads if creating thread takes longer than this many seconds.","pending-reboot",
"slow_query_log",,"0,1",true,"engine-default","dynamic","boolean","Enable or disable the slow query log","pending-reboot",
"slow_query_log_file","/rdsdbdata/log/slowquery/mysql-slowquery.log",,false,"system","dynamic","string","Location of the mysql slow query log file.","pending-reboot",
"socket","/tmp/mysql.sock",,false,"system","static","string","(UNIX) socket file and (WINDOWS) named pipe used for local connections.","pending-reboot",
"sort_buffer_size",,"32768-18446744073709551615",true,"engine-default","dynamic","integer","Larger value improves perf for ORDER BY or GROUP BY operations.","pending-reboot",
"sql_mode","0","0,ANSI,ALLOW_INVALID_DATES,ANSI_QUOTES,ERROR_FOR_DIVISION_BY_ZERO,HIGH_NOT_PRECEDENCE,IGNORE_SPACE,NO_AUTO_VALUE_ON_ZERO,NO_BACKSLASH_ESCAPES,NO_DIR_IN_CREATE,NO_ENGINE_SUBSTITUTION,NO_UNSIGNED_SUBTRACTION,NO_ZERO_DATE,NO_ZERO_IN_DATE,ONLY_FULL_GROUP_BY,PAD_CHAR_TO_FULL_LENGTH,PIPES_AS_CONCAT,REAL_AS_FLOAT,STRICT_ALL_TABLES,STRICT_TRANS_TABLES,TRADITIONAL,TIME_TRUNCATE_FRACTIONAL",true,"system","dynamic","list","Current SQL Server Mode.","pending-reboot",
"sql_select_limit",,"0-18446744073709551615",true,"engine-default","dynamic","integer","The maximum number of rows to return from SELECT statements.","pending-reboot",
"stored_program_cache",,"256-524288",true,"engine-default","dynamic","integer","Sets a soft upper limit for the number of cached stored routines per connection.","pending-reboot",
"stored_program_definition_cache",,"256-524288",true,"engine-default","dynamic","integer","Defines a limit for the number of stored program definition objects, both used and unused, that can be kept in the dictionary object cache.","pending-reboot",
"sync_binlog","1","0-18446744073709547520",false,"system","dynamic","integer","Sync binlog (MySQL flush to disk or rely on OS)","pending-reboot",
"sync_relay_log_info",,"0-18446744073709547520",true,"engine-default","dynamic","integer","The number of transactions after which the replica updates the applier metadata repository. A zero value means that the file contents are only flushed by the operating system.","pending-reboot",
"sync_source_info",,"0-18446744073709547520",true,"engine-default","dynamic","integer","sync_source_info specifies the number of events after which the replica updates the connection metadata repository","pending-reboot",
"sysdate-is-now",,"0,1",true,"engine-default","static","boolean","Causes SYSYDATE() to be an alias for NOW(). Replication related","pending-reboot",
"table_cache_element_entry_ttl",,"5",false,"engine-default","static","integer","table_cache_element_entry_ttl","pending-reboot",
"table_definition_cache","LEAST({DBInstanceClassMemory/393040}, 20000)","-1,400-524288",true,"engine-default","dynamic","integer","The number of table definitions that can be stored in the definition cache","pending-reboot",
"table_open_cache","LEAST({DBInstanceClassMemory/1179121}, 6000)","1-524288",true,"engine-default","dynamic","integer","The number of open tables for all threads. Increasing this value increases the number of file descriptors.","pending-reboot",
"table_open_cache_instances",,"1-64",true,"engine-default","static","integer","The number of open tables cache instances.","pending-reboot",
"tablespace_definition_cache",,"256-524288",true,"engine-default","dynamic","integer","Defines a limit for the number of tablespace definition objects, both used and unused, that can be kept in the dictionary object cache.","pending-reboot",
"temptable_max_mmap","1073741824","0-18446744073709551615",true,"engine-default","dynamic","integer","Defines the maximum amount of memory (in bytes) the TempTable storage engine is permitted to allocate from memory-mapped temporary files before it starts storing data to InnoDB internal temporary tables on disk. A setting of 0 disables allocation of memory from memory-mapped temporary files.","pending-reboot",
"temptable_max_ram","1073741824","2097152-18446744073709551615",true,"engine-default","dynamic","integer","Defines the maximum amount of memory that can be occupied by the TempTable storage engine before it starts storing data on disk.","pending-reboot",
"temptable_use_mmap","1","0,1",true,"engine-default","dynamic","boolean","Defines whether the TempTable storage engine allocates space for internal in-memory temporary tables as memory-mapped temporary files when the amount of memory occupied by the TempTable storage engine exceeds the limit defined by the temptable_max_ram variable. When temptable_use_mmap is disabled, the TempTable storage engine uses InnoDB on-disk internal temporary tables instead. Deprecated in MySQL Community 8.0.26","pending-reboot",
"replica_sql_verify_checksum",,"0,1",true,"engine-default","dynamic","boolean","When this option is enabled, the replica examines checksums read from the relay log, in the event of a mismatch, the replica stops with an error.","pending-reboot",
"safe-user-create",,"0,1",true,"engine-default","static","boolean","If this option is enabled, a user cannot create new MySQL users by using the GRANT  statement unless the user has the INSERT privilege for the mysql.user table or any column in the table.","pending-reboot",
"schema_definition_cache",,"256-524288",true,"engine-default","dynamic","integer","Defines a limit for the number of schema definition objects, both used and unused, that can be kept in the dictionary object cache.","pending-reboot",
"secure_file_priv","/tmp",,false,"system","static","string","Limits the effect of LOAD_FILE(), LOAD_DATA, and SELECT ??? INTO OUTFILE to specified directory.","pending-reboot",
"skip_external_locking",,"0,1",false,"engine-default","static","boolean","Uses OS locking instead of internal","pending-reboot",
"skip-replica-start","1","0,1",false,"system","static","boolean","Tells the replica server not to start the replica threads when the server starts.","pending-reboot",
"skip_show_database",,"0,1",true,"engine-default","static","boolean","SHOW DATABASES statement is allowed only to users who have the SHOW DATABASES privilege","pending-reboot",
"slow_launch_time",,"0-31536000",true,"engine-default","dynamic","integer","Increments Slow_launch_threads if creating thread takes longer than this many seconds.","pending-reboot",
"slow_query_log",,"0,1",true,"engine-default","dynamic","boolean","Enable or disable the slow query log","pending-reboot",
"slow_query_log_file","/rdsdbdata/log/slowquery/mysql-slowquery.log",,false,"system","dynamic","string","Location of the mysql slow query log file.","pending-reboot",
"socket","/tmp/mysql.sock",,false,"system","static","string","(UNIX) socket file and (WINDOWS) named pipe used for local connections.","pending-reboot",
"sort_buffer_size",,"32768-18446744073709551615",true,"engine-default","dynamic","integer","Larger value improves perf for ORDER BY or GROUP BY operations.","pending-reboot",
"sql_mode","0","0,ANSI,ALLOW_INVALID_DATES,ANSI_QUOTES,ERROR_FOR_DIVISION_BY_ZERO,HIGH_NOT_PRECEDENCE,IGNORE_SPACE,NO_AUTO_VALUE_ON_ZERO,NO_BACKSLASH_ESCAPES,NO_DIR_IN_CREATE,NO_ENGINE_SUBSTITUTION,NO_UNSIGNED_SUBTRACTION,NO_ZERO_DATE,NO_ZERO_IN_DATE,ONLY_FULL_GROUP_BY,PAD_CHAR_TO_FULL_LENGTH,PIPES_AS_CONCAT,REAL_AS_FLOAT,STRICT_ALL_TABLES,STRICT_TRANS_TABLES,TRADITIONAL,TIME_TRUNCATE_FRACTIONAL",true,"system","dynamic","list","Current SQL Server Mode.","pending-reboot",
"sql_select_limit",,"0-18446744073709551615",true,"engine-default","dynamic","integer","The maximum number of rows to return from SELECT statements.","pending-reboot",
"stored_program_cache",,"256-524288",true,"engine-default","dynamic","integer","Sets a soft upper limit for the number of cached stored routines per connection.","pending-reboot",
"stored_program_definition_cache",,"256-524288",true,"engine-default","dynamic","integer","Defines a limit for the number of stored program definition objects, both used and unused, that can be kept in the dictionary object cache.","pending-reboot",
"sync_binlog","1","0-18446744073709547520",false,"system","dynamic","integer","Sync binlog (MySQL flush to disk or rely on OS)","pending-reboot",
"sync_relay_log_info",,"0-18446744073709547520",true,"engine-default","dynamic","integer","The number of transactions after which the replica updates the applier metadata repository. A zero value means that the file contents are only flushed by the operating system.","pending-reboot",
"sync_source_info",,"0-18446744073709547520",true,"engine-default","dynamic","integer","sync_source_info specifies the number of events after which the replica updates the connection metadata repository","pending-reboot",
"sysdate-is-now",,"0,1",true,"engine-default","static","boolean","Causes SYSYDATE() to be an alias for NOW(). Replication related","pending-reboot",
"table_cache_element_entry_ttl",,"5",false,"engine-default","static","integer","table_cache_element_entry_ttl","pending-reboot",
"table_definition_cache","LEAST({DBInstanceClassMemory/393040}, 20000)","-1,400-524288",true,"engine-default","dynamic","integer","The number of table definitions that can be stored in the definition cache","pending-reboot",
"table_open_cache","LEAST({DBInstanceClassMemory/1179121}, 6000)","1-524288",true,"engine-default","dynamic","integer","The number of open tables for all threads. Increasing this value increases the number of file descriptors.","pending-reboot",
"table_open_cache_instances",,"1-64",true,"engine-default","static","integer","The number of open tables cache instances.","pending-reboot",
"tablespace_definition_cache",,"256-524288",true,"engine-default","dynamic","integer","Defines a limit for the number of tablespace definition objects, both used and unused, that can be kept in the dictionary object cache.","pending-reboot",
"temptable_max_mmap","1073741824","0-18446744073709551615",true,"engine-default","dynamic","integer","Defines the maximum amount of memory (in bytes) the TempTable storage engine is permitted to allocate from memory-mapped temporary files before it starts storing data to InnoDB internal temporary tables on disk. A setting of 0 disables allocation of memory from memory-mapped temporary files.","pending-reboot",
"temptable_max_ram","1073741824","2097152-18446744073709551615",true,"engine-default","dynamic","integer","Defines the maximum amount of memory that can be occupied by the TempTable storage engine before it starts storing data on disk.","pending-reboot",
"temptable_use_mmap","1","0,1",true,"engine-default","dynamic","boolean","Defines whether the TempTable storage engine allocates space for internal in-memory temporary tables as memory-mapped temporary files when the amount of memory occupied by the TempTable storage engine exceeds the limit defined by the temptable_max_ram variable. When temptable_use_mmap is disabled, the TempTable storage engine uses InnoDB on-disk internal temporary tables instead. Deprecated in MySQL Community 8.0.26","pending-reboot",
